grantee,grant_date,grant_amount_arb,grant_name,proposal_url,gap_url
Clique,2024-01-23,15000.0,Questbook - New Protocols and Ideas,https://questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x490,https://gap.karmahq.xyz/project/clique/grants?grantId=0x99ce7897c26e2a3b879f48ee504cab09fd2d97519d13f4d67e267d567e8b4d34&tab=overview
Amelia,2024-01-26,8000.0,Questbook - New Protocols and Ideas,https://questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x583,https://gap.karmahq.xyz/project/amelia/grants?grantId=0x2374c6eaf7183650723fa98ef0d29bb7a967e5cc9d79c9307184b11bbf620062&tab=overview
Smilee LP & IG Simulator with IL Hedge,2024-01-26,8000.0,Questbook - New Protocols and Ideas,https://questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x586,https://gap.karmahq.xyz/project/smilee-lp--ig-simulator-with-il-hedge/grants?grantId=0xde6b750fe0173776f738087ee1d7503218d4d9b3553473fba8d0c5173bfff0aa&tab=overview
Sweep n' Flip | NFT DEX,2024-01-25,7500.0,Questbook - New Protocols and Ideas,https://questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x4e4,https://gap.karmahq.xyz/project/sweep-n-flip--nft-dex/grants?grantId=0xd81ca4cef56193bc94939d430b99fcee90a5c0b2f357b84c96df7c30dbe78565&tab=overview
One Click Crypto,2024-01-25,22000.0,Questbook - New Protocols and Ideas,https://questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x558,https://gap.karmahq.xyz/project/one-click-crypto/grants?grantId=0xc0eaf538c323248a43ed3157036082e402eed98fb690060361e9287ef99614a1&tab=overview
Tally,2023-09-20,200000.0,Short Term Incentive Program,https://forum.arbitrum.foundation/t/tally-final-stip-round-1/17557,https://gap.karmahq.xyz/project/tally/grants?grantId=0x3c99f9f0c8e38688fd6652c6f1fa968fb6fc900680e1fd3bb165e8cf0a7f0de0&tab=overview
Saavy,2023-09-20,200000.0,Short Term Incentive Program,https://forum.arbitrum.foundation/t/savvy-final-stip-round-1/16854,https://gap.karmahq.xyz/project/saavy/grants?grantId=0x70dda71833e32f95a6c51402e6cbc2246f6df92d9319f2e1c7d99f63dc53a322&tab=overview
OpenOcean,2023-09-20,500000.0,Short Term Incentive Program,https://forum.arbitrum.foundation/t/openocean-final-stip-round-1/17564,https://gap.karmahq.xyz/project/openocean/grants?grantId=0x5362c0b947852afc5f8c1dcc2710806cfbebe1d92ebf415792f58176e54925c7&tab=overview
Rysk,2023-09-20,500000.0,Short Term Incentive Program,https://forum.arbitrum.foundation/t/rysk-final-stip-round-1/17194,https://gap.karmahq.xyz/project/rysk/grants?grantId=0x7ccc9dfbd640cd1ac52be7520d6f86ab6ff3ee475ac1441afee4850ad674bb5b&tab=overview
Umami Finance,2023-09-20,750000.0,Short Term Incentive Program,https://forum.arbitrum.foundation/t/umami-finance-final-stip-round-1/17203,https://gap.karmahq.xyz/project/umami-finance/grants?grantId=0x8d730ac8b92e32882213ee90deac2eca2d3b85936c49e9e9961dbd0acbae813f&tab=overview
